user_id,major,gpa,year
STU_001,Engineering,2.6259121290738214,2
STU_002,Computer Science,3.368432037480315,1
STU_003,Statistics,2.731890863817367,5
STU_004,Mathematics,3.6913460739684933,2
STU_005,Information Systems,2.508932908158975,5
STU_006,Information Systems,3.2999202526123668,4
STU_007,Statistics,3.0148751888598637,5
STU_008,Statistics,3.607691986401125,5
STU_009,Information Systems,3.367758617337845,2
STU_010,Information Systems,2.7575134366394396,1
STU_011,Engineering,2.578898764985624,1
STU_012,Data Science,3.356506620671934,3
STU_013,Physics,3.8368687071395184,4
STU_014,Physics,3.141530074892683,1
STU_015,Information Systems,2.6795953069701106,3
